horsenumber,horsecode,jockey_id,todaysrating,avg_spds,timelist,isMaiden,racedate,raceclass,runners_list,racesurface,jockeycode,marginsbehindleader,dayssincelastrun,previousruns_car,racegoing,localracetime,horse_id,racename,l3odds,priority,racecoursecode,trackvariant,ownername,race_id,trainername,racenumber,utcracetime,owner_id,prev_avg_spds_d,gear,previousruns_d,h_pastraces,placing,racerating,trainer_id,jockeyname,jtohweights_h,lastwonat,racedistance,horsename,horse_url,previouswins_car,raceday_id,prev_avg_spds_cl,finish_time,positions,trainercode,seasonstakes,ranked_avgspds,dayssincelastrun_h,previouswins_d
5,M193,,,"[16.88577976118683, 15.940065354267952, 16.065690824705463, 16.465422612513724, 16.252955082742318, 16.575157981974517, 16.465422612513724, 16.190756549896967, 16.717166440288374, 16.286644951140065, 16.668402958641526, 16.9061707523246, 16.971754152018427, 16.945049624788187, 16.357688113413303, 16.63977410246067, 16.40091116173121, 16.55629139072848, 16.511867905056757, 16.10305958132045, 16.63720494956847, 16.741655331170872, 16.879672052085844, 16.69449081803005, 17.033702396885268, 16.261631583702233, 16.750418760469014, 16.828945786753216, 16.346546791990193, 16.46241082860801, 15.7615704255624, 16.38001638001638, 16.54107700790296, 16.545638385881055, 16.542597187758478, 15.884476534296029, 16.67284179325676, 16.518307791135175, 16.527407951519603, 16.454886187037207, 16.682306328849965, 16.52892561983471, 16.575157981974517, 16.551153408503154, 16.758439071103663, 16.782546152001917, 17.25625539257981, 17.513134851138354, 17.262213015708614, 17.45810055865922, 16.93002257336343]",,,2015-09-28,4,,No surface found in dict,PZ,,22,51,,,,,"[14.0, 8.2, 18.0]",1,,,Generous Syndicate,,,5,2015-09-28 07:00:00,,"[16.575157981974517, 16.717166440288374, 16.668402958641526, 16.511867905056757, 16.63720494956847, 16.741655331170872, 16.69449081803005, 16.750418760469014, 16.346546791990193, 16.682306328849965, 16.575157981974517, 16.551153408503154]",H/B2/TT,12,"[('20120609_679', None), ('20140427_579', None), ('20150513_610', None), ('20120429_581', None), ('20110521_636', None), ('20140628_747', None), ('20140521_641', None), ('20150531_656', None), ('20140528_664', None), ('20131208_226', None), ('20120304_451', None), ('20150301_428', None), ('20140615_711', None), ('20150701_742', None), ('20121001_62', None), ('20150621_713', None), ('20140330_516', None), ('20121024_116', None), ('20130417_542', None), ('20111009_78', None), ('20131109_153', None), ('20140202_371', None), ('20110510_609', None), ('20111217_253', None), ('20150906_6', None), ('20121209_224', None), ('20130707_758', None), ('20130526_641', None), ('20110918_21', None), ('20130327_496', None), ('20130908_10', None), ('20131020_100', None), ('20120325_506', None), ('20140409_543', None), ('20150110_309', None), ('20131012_81', None), ('20120121_337', None), ('20150401_513', None), ('20150311_455', None), ('20110611_692', None), ('20140305_450', None), ('20141207_218', None), ('20150426_563', None), ('20120715_765', None), ('20150211_388', None), ('20131229_284', None), ('20130120_333', None), ('20140208_390', None), ('20130202_367', None), ('20111120_175', None), ('20110425_572', None)]",,0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1600,REAL GENEROUS,,5,,"[16.88577976118683, 15.940065354267952, 16.065690824705463, 16.465422612513724, 16.252955082742318, 16.575157981974517, 16.575157981974517, 16.551153408503154, 16.758439071103663, 16.782546152001917, 17.25625539257981, 17.513134851138354, 17.262213015708614, 17.45810055865922, 16.93002257336343]",,,YCH,0,"[10, 49, 48, 35, 45, 24, 35, 46, 17, 43, 21, 9, 6, 7, 41, 22, 39, 26, 34, 47, 23, 16, 11, 18, 5, 44, 15, 12, 42, 37, 51, 40, 30, 28, 29, 50, 20, 33, 32, 38, 19, 31, 24, 27, 14, 13, 4, 1, 3, 2, 8]","[67, 10, 21, 18, 17, 25, 21, 10, 18, 32, 34, 162, 13, 18, 7, 24, 18, 10, 25, 25, 6, 35, 21, 29, 20, 8, 34, 63, 42, 39, 21, 53, 13, 42, 46, 23, 78, 36, 41, 35, 21, 43, 35, 27, 42, 21, 99, 21, 11, 15]",2
2,P376,,,"[16.465987444684572, 16.829704428315978, 16.007114273010227, 16.738152526414897, 16.62510390689942, 16.630287911859476, 16.633745711612434, 16.727652901202298, 16.566576931041624, 16.61992313285551, 16.447368421052634, 16.317650258362796, 16.15363905590954, 16.363636363636363, 16.4490080749676, 16.588332872546307, 16.429353778751366, 16.2577593851611, 16.217810104187144, 16.564601947595623, 16.762452107279696, 16.985138004246284, 16.98994761432819, 16.958733747880157, 16.5629391688416, 16.17171420170538, 16.887816646562122, 16.466713714420138]",,,2015-09-28,4,,No surface found in dict,TEK,,15,28,,,,,"[10.0, 9.5, 14.0]",1,,,Wilson Au Yuk San,,,5,2015-09-28 07:00:00,,"[16.465987444684572, 16.829704428315978, 16.738152526414897, 16.62510390689942, 16.630287911859476, 16.633745711612434, 16.727652901202298, 16.566576931041624, 16.61992313285551]",,9,"[('20131221_260', None), ('20140223_419', None), ('20141019_95', None), ('20150101_277', None), ('20150516_621', None), ('20140706_766', None), ('20140507_606', None), ('20141029_125', None), ('20141005_61', None), ('20150621_713', None), ('20140605_678', None), ('20141126_187', None), ('20131030_126', None), ('20150221_404', None), ('20150110_306', None), ('20150329_500', None), ('20140409_540', None), ('20150607_676', None), ('20131020_99', None), ('20150705_752', None), ('20131124_184', None), ('20140319_483', None), ('20150426_563', None), ('20140917_16', None), ('20150913_22', None), ('20131006_63', None), ('20130701_740', None), ('20140202_364', None)]",,0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1600,FIGHTING BOY,,3,,"[16.465987444684572, 16.829704428315978, 16.007114273010227, 16.738152526414897, 16.62510390689942, 16.630287911859476, 16.633745711612434, 16.727652901202298, 16.566576931041624, 16.61992313285551, 16.447368421052634, 16.317650258362796, 16.15363905590954, 16.363636363636363, 16.4490080749676, 16.588332872546307, 16.2577593851611, 16.564601947595623, 16.762452107279696, 16.985138004246284, 16.98994761432819, 16.958733747880157]",,,WS,0,"[18, 5, 28, 7, 11, 10, 9, 8, 14, 12, 20, 23, 27, 22, 19, 13, 21, 24, 25, 15, 6, 2, 1, 3, 16, 26, 4, 17]","[70, 14, 14, 22, 20, 28, 36, 42, 9, 36, 28, 10, 14, 18, 73, 31, 29, 28, 21, 24, 21, 43, 27, 25, 10, 14, 97]",2
3,P436,,,"[16.523804606010533, 16.713673874438523, 16.764459346186086, 16.495051484554633, 16.959932160271357, 16.822879115597214, 16.782043213761273, 16.599232285506794, 16.893675430260796, 16.111707841031148, 16.36214889555495, 16.69449081803005, 16.424856282507527, 16.507703595011005, 16.217810104187144, 16.151827175449224, 16.289860795735017, 16.74641148325359, 16.766467065868262]",,,2015-09-28,4,,No surface found in dict,WD,,15,21,,,,,"[2.7, 5.9, 2.2]",+1,,,Chau Cham Son & Calvin Chau,,,5,2015-09-28 07:00:00,,"[16.523804606010533, 16.713673874438523, 16.764459346186086, 16.959932160271357, 16.782043213761273, 16.599232285506794, 16.893675430260796, 16.69449081803005, 16.151827175449224]",TT,9,"[('20150419_551', None), ('20140406_532', None), ('20140615_709', None), ('20141102_135', None), ('20140921_23', None), ('20141130_202', None), ('20140507_606', None), ('20140226_432', None), ('20140601_667', None), ('20150215_398', None), ('20141005_61', None), ('20150913_22', None), ('20150509_603', None), ('20141019_95', None), ('20150627_730', None), ('20141115_167', None), ('20150607_676', None), ('20140312_466', None), ('20140202_366', None)]",,0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1600,TERRIFIC MASTER,,3,,"[16.523804606010533, 16.713673874438523, 16.764459346186086, 16.893675430260796, 16.111707841031148, 16.36214889555495, 16.69449081803005, 16.424856282507527, 16.507703595011005, 16.217810104187144, 16.151827175449224, 16.289860795735017, 16.74641148325359, 16.766467065868262]",,,CAS,0,"[11, 8, 6, 13, 1, 3, 4, 10, 2, 19, 15, 9, 14, 12, 17, 18, 16, 7, 5]","[78, 20, 29, 20, 63, 77, 15, 13, 14, 14, 14, 98, 14, 25, 31, 25, 14, 24, 46, 31]",2
12,N115,,,"[17.059994313335228, 17.084282460136677, 17.22652885443583, 16.949152542372882, 17.427675148135236, 17.70224818551956, 16.934801016088063, 16.62312989788649, 16.240157480314963, 16.27633601591464, 16.880011253340836, 16.27906976744186]",,,2015-09-28,4,,No surface found in dict,HCY,,15,12,,,,,"[20.0, 44.0, 99.0]",1,,,James Lau Po Man & Alice Woo Wai See,,,6,2015-09-28 07:35:00,,"[16.62312989788649, 16.27906976744186]",B/TT,2,"[('20120530_655', None), ('20150712_769', None), ('20120606_672', None), ('20120519_636', None), ('20120620_710', None), ('20150913_21', None), ('20120701_728', None), ('20150524_637', None), ('20150101_279', None), ('20120908_8', None), ('20150607_671', None), ('20140202_367', None)]",,0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1400,ORACLE,,0,,"[17.059994313335228, 17.084282460136677, 17.22652885443583, 16.949152542372882]",,,CD,0,"[5, 4, 3, 6, 2, 1, 7, 9, 12, 11, 8, 10]","[63, 35, 14, 143, 333, 512, 69, 11, 14, 7, 11]",0
13,S070,,,"[16.73840267814443, 16.742406122937094, 16.299515953768644, 16.863406408094434, 16.243354991139988, 16.869502349680687, 16.025641025641026, 16.304347826086957, 16.78455820645007, 16.938898971566847, 16.684542962698128, 17.072129748186086, 16.882386043894204, 17.310022503029252, 16.9061707523246, 16.837378981338574, 17.18213058419244, 17.085255424568597, 17.21763085399449]",,,2015-09-28,4,,No surface found in dict,FRA,,22,20,,,,,"[3.7, 31.0, 5.6]",1,,,Koo Ming Kown,,,6,2015-09-28 07:35:00,,"[16.73840267814443, 16.742406122937094, 16.863406408094434, 16.869502349680687, 16.78455820645007, 16.938898971566847, 16.684542962698128]",B,7,"[('20140507_604', None), ('20141112_154', None), ('20150705_750', None), ('20140914_1', None), ('20150121_331', None), ('20140105_299', None), ('20141001_50', None), ('20140615_704', None), ('20150101_276', None), ('20140416_559', None), ('20140323_495', None), ('20150906_4', None), ('20131215_240', None), ('20140701_754', None), ('20140212_392', None), ('20150607_673', None), ('20141022_106', None), ('20150617_704', None), ('20140312_465', None)]",,0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1400,PLAIN BLUE BANNER,,2,,"[16.742406122937094, 16.299515953768644, 16.863406408094434, 16.243354991139988, 16.869502349680687, 16.025641025641026, 16.304347826086957, 16.684542962698128, 17.072129748186086, 16.882386043894204, 17.310022503029252, 16.9061707523246, 17.085255424568597, 17.21763085399449]",,,FD,0,"[14, 13, 17, 10, 18, 9, 19, 16, 12, 6, 15, 5, 8, 1, 7, 11, 3, 4, 2]","[63, 18, 10, 137, 20, 50, 21, 21, 17, 75, 16, 39, 21, 24, 11, 28, 38, 21, 21]",2
11,T028,,,"[16.762702985856468, 16.632016632016633, 16.726403823178018, 16.85122773230621]",,,2015-09-28,4,,No surface found in dict,WD,,106,5,,,,,"[13.0, 0.0, 46.0]",+1,,,Lucky Forever Syndicate,,,6,2015-09-28 07:35:00,,[16.85122773230621],H/TT,2,"[('20150503_583', None), ('20150407_516', None), ('20150614_694', None), ('20150524_638', None)]",,0,,,"[0, 0, 0, 0]",,1400,IMPERIAL GALLANTRY,,0,,"[16.762702985856468, 16.632016632016633, 16.726403823178018, 16.85122773230621]",,,OSP,0,"[2, 4, 3, 1]","[21, 21, 26, 37]",0
9,S370,,,"[16.984107727769015, 16.85122773230621, 16.762117614191926]",,,2015-09-28,4,,No surface found in dict,RN,,78,4,,,,,"[3.2, 31.0, 0.0]",1,,,Hayden Pong Hei Ting,,,6,2015-09-28 07:35:00,,"[16.984107727769015, 16.85122773230621, 16.762117614191926]",B/H,3,"[('20150627_728', None), ('20150712_771', None), ('20150301_423', None)]",,0,,,"[0, 0, 0]",,1400,RAGING BULL,,0,,"[16.984107727769015, 16.85122773230621, 16.762117614191926]",,,SJJ,0,"[1, 2, 3]","[15, 118, 243]",0
10,L401,,,"[16.58374792703151, 16.84109226512691, 17.664723547076488, 16.86814731515322, 17.385257301808064, 16.949152542372882, 16.865776528460998, 17.20183486238532, 17.455053237912377, 17.605633802816904, 17.289073305670815, 17.091582395670134, 17.19444046424989, 16.320474777448073, 17.190991920233795, 16.766467065868262, 16.85122773230621, 16.81202059472523, 16.99441612041758, 17.033356990773598, 16.607847207805687, 16.72066046608841, 16.859344894026975, 16.5347820951931, 17.219113215669395, 16.877637130801688, 17.162471395881006, 16.388557806912992, 17.21664275466284, 17.115960633290545, 17.467248908296945, 17.20183486238532, 17.02852277564921, 17.067273503057887, 16.88951442646024, 16.93002257336343, 16.944365998305564, 16.908212560386474, 17.113519680547633, 17.006802721088434, 17.1257314114457, 16.84109226512691, 16.794625719769673, 16.91842900302115, 17.214666896195556, 17.44287458573173]",,,2015-09-28,4,,No surface found in dict,LWM,,19,48,,,,,"[43.0, 47.0, 79.0]",+1,,,Ling Kwok Cheung,,,6,2015-09-28 07:35:00,,"[16.84109226512691, 16.766467065868262, 16.85122773230621, 16.99441612041758, 16.859344894026975, 16.5347820951931, 16.877637130801688, 16.908212560386474, 16.84109226512691, 16.794625719769673, 16.91842900302115, 17.214666896195556]",,12,"[('20111221_264', None), ('20140618_720', None), ('20111130_209', None), ('20110605_682', None), ('20121228_275', None), ('20121212_239', None), ('20150909_12', None), ('20120310_469', None), ('20121125_194', None), ('20141019_99', None), ('20111026_125', None), ('20101204_230', None), ('20110212_391', None), ('20140517_637', None), ('20120208_388', None), ('20150712_771', None), ('20120415_544', None), ('20140605_682', None), ('20121001_64', None), ('20110518_635', None), ('20120609_683', None), ('20140430_588', None), ('20101114_172', None), ('20120708_750', None), ('20110706_754', None), ('20130206_375', None), ('20110316_471', None), ('20150422_558', None), ('20150627_731', None), ('20120229_442', None), ('20111006_71', None), ('20120923_46', None), ('20130106_295', None), ('20101227_280', None), ('20120912_18', None), ('20150513_614', None), ('20120519_636', None), ('20121028_129', None), ('20110227_431', None), ('20120624_719', None), ('20120111_313', None), ('20120506_599', None), ('20120421_563', None), ('20120321_496', None), ('20110420_566', None), ('20150610_685', None)]",,0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1400,GROOVY,,4,,"[16.58374792703151, 16.84109226512691, 16.794625719769673]",,,NTK,0,"[43, 36, 1, 32, 6, 25, 33, 11, 4, 2, 7, 19, 13, 46, 14, 40, 35, 38, 24, 21, 42, 41, 34, 44, 8, 31, 15, 45, 9, 17, 3, 11, 22, 20, 30, 27, 26, 29, 18, 23, 16, 36, 39, 28, 10, 5]","[59, 15, 17, 28, 21, 185, 123, 13, 19, 17, 448, 31, 9, 16, 17, 28, 27, 8, 11, 66, 14, 15, 21, 13, 15, 6, 25, 11, 10, 21, 28, 21, 21, 35, 20, 92, 31, 18, 28, 35, 17, 15, 47, 23, 20, 44, 26]",0
8,S378,,,"[16.390083999180494, 16.56608685362679, 16.766801732569515, 16.638935108153078, 16.863406408094434]",,,2015-09-28,4,,No surface found in dict,TON,,93,6,,,,,"[99.0, 99.0, 99.0]",2,,,"Johnny Wong Ka Keung, Ernest Ip Koon Wing, Christopher Chan Wai Tong & Michael Cheng Woon Yin",,,6,2015-09-28 07:35:00,,"[16.56608685362679, 16.863406408094434]",H-/B2/TT,2,"[('20150627_730', None), ('20150607_679', None), ('20141207_223', None), ('20150513_613', None), ('20141115_166', None)]",,0,,,"[0, 0, 0, 0, 0]",,1400,BO DUKE,,0,,[16.390083999180494],,,YPF,0,"[5, 4, 2, 3, 1]","[20, 25, 157, 22, 17]",0
7,S116,,,"[16.786570743405274, 16.6270783847981, 16.865776528460998]",,,2015-09-28,4,,No surface found in dict,LDE,,174,3,,,,,"[99.0, 54.0, 74.0]",*1,,,Stanley Lau Chin Ho,,,6,2015-09-28 07:35:00,,"[16.786570743405274, 16.6270783847981]",B/TT,2,"[('20150407_516', None), ('20140701_750', None), ('20140914_7', None)]",,0,,,"[0, 0, 0]",,1400,WATCH KING,,0,,"[16.786570743405274, 16.6270783847981]",,,SCS,0,"[2, 3, 1]","[205, 75]",0
6,T065,,,"[16.711928138709006, 16.802688430148827, 16.82085786375105, 16.91025486169827, 16.78858376304113, 17.062420019906156]",,,2015-09-28,4,,No surface found in dict,MG,,22,8,,,,,"[0.0, 0.0, 6.2]",+1,,,Mr & Mrs So Chun Yu,,,6,2015-09-28 07:35:00,,"[16.711928138709006, 16.91025486169827, 16.78858376304113, 17.062420019906156]",,5,"[('20150104_286', None), ('20150426_563', None), ('20150329_500', None), ('20150221_405', None), ('20150201_357', None), ('20150906_6', None)]",,0,,,"[0, 0, 0, 0, 0, 0]",,1400,MOTIF,,0,,"[16.711928138709006, 16.802688430148827, 16.82085786375105, 16.91025486169827, 16.78858376304113, 17.062420019906156]",,,MKL,0,"[6, 4, 3, 2, 5, 1]","[133, 28, 36, 20, 28, 28, 22]",0
5,S387,,,"[16.837041491280818, 16.990291262135923, 16.93480101608806, 16.843118383060634, 16.85325628987601, 16.81075888568684, 16.72066046608841, 17.033702396885268, 16.839066634592253]",,,2015-09-28,4,,No surface found in dict,SCC,,15,9,,,,,"[8.3, 18.0, 12.0]",1,,,Mr & Mrs Iain Bruce,,,6,2015-09-28 07:35:00,,"[16.837041491280818, 16.990291262135923, 16.93480101608806, 16.843118383060634, 16.85325628987601, 16.81075888568684, 17.033702396885268, 16.839066634592253]",B,8,"[('20141220_256', None), ('20150712_773', None), ('20150315_466', None), ('20150701_740', None), ('20141026_120', None), ('20150215_398', None), ('20150913_23', None), ('20150607_673', None), ('20141115_166', None)]",,0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",,1400,STRATHEARN,,0,,"[16.837041491280818, 16.990291262135923, 16.93480101608806, 16.843118383060634]",,,MA,0,"[7, 2, 3, 5, 4, 8, 9, 1, 6]","[63, 11, 24, 84, 28, 57, 35, 20]",0
3,T212,,,"[17.091582395670134, 17.214173002438677, 16.696813691387227, 16.856300042140752, 17.018862572684725, 16.953941791466516]",,,2015-09-28,4,,No surface found in dict,PZ,,103,6,,,,,"[99.0, 99.0, 99.0]",1,,,Wong Chun Tak,,,6,2015-09-28 07:35:00,,,,0,"[('20150531_660', None), ('20150315_464', None), ('20150422_558', None), ('20150506_593', None), ('20150617_705', None), ('20150329_499', None)]",,0,,,"[0, 0, 0, 0, 0, 0]",,1400,TRAVEL NUMBER ONE,,0,,,,,YCH,0,"[2, 1, 6, 5, 3, 4]","[17, 25, 14, 24, 14]",0
4,S234,,,"[16.908212560386474, 16.699718192255506, 16.46843549862763, 15.462468372223785, 16.778523489932887, 16.75743611227482, 17.02955844787739, 16.523132385339476, 16.296296296296298, 16.46870945204112, 16.315633343221595, 16.21475542743897, 16.40112464854733]",,,2015-09-28,4,,No surface found in dict,CAN,,15,14,,,,,"[8.9, 17.0, 55.0]",+1,,,Sunny Yam & Jacqueline Yam,,,6,2015-09-28 07:35:00,,"[16.908212560386474, 16.523132385339476]",CP/H/XB/TT,3,"[('20140514_626', None), ('20140402_526', None), ('20150520_633', None), ('20140430_589', None), ('20140611_701', None), ('20150913_23', None), ('20150607_678', None), ('20140628_747', None), ('20141005_66', None), ('20140528_662', None), ('20141019_100', None), ('20150701_746', None), ('20140921_24', None)]",,0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1400,DANEWIN EXPRESS,,0,,[16.908212560386474],,,CAS,0,"[2, 5, 8, 13, 3, 4, 1, 6, 11, 7, 10, 12, 9]","[74, 24, 18, 213, 14, 14, 85, 17, 14, 14, 14, 28, 32]",0
1,T184,,,"[17.155110793423873, 17.18213058419244, 17.130620985010708]",,,2015-09-28,4,,No surface found in dict,MOJ,,15,3,,,,,"[2.4, 2.8, 2.2]",1,,,Rotary Club of Sha Tin Syndicate,,,6,2015-09-28 07:35:00,,,,0,"[('20150913_21', None), ('20150503_582', None), ('20150407_517', None)]",,0,,,"[0, 0, 0]",,1400,HAPPY AGILITY,,1,,"[17.155110793423873, 17.18213058419244, 17.130620985010708]",,,YPF,0,"[2, 1, 3]","[133, 26]",0
11,T213,,,"[17.18213058419244, 16.91153155057605, 16.314877128581628, 16.68578579622484, 16.843118383060634, 17.26618705035971, 17.187052420509882, 17.030939540164635]",,,2015-09-28,3,,No surface found in dict,TON,,15,8,,,,,"[0.0, 68.0, 54.0]",1,,,Mr & Mrs Chan Hou Bo,,,7,2015-09-28 08:05:00,,"[16.91153155057605, 17.187052420509882, 17.030939540164635]",TT,4,"[('20150419_589', None), ('20150913_61', None), ('20150712_25', None), ('20150531_712', None), ('20150503_658', None), ('20150321_502', None), ('20150621_774', None), ('20150329_550', None)]",,0,,,"[0, 0, 0, 0, 0, 0, 0, 0]",,1200,SUPER MAN,,0,,"[16.91153155057605, 16.314877128581628, 16.68578579622484, 16.843118383060634, 17.26618705035971, 17.187052420509882, 17.030939540164635]",,,SWY,0,"[3, 5, 8, 7, 6, 1, 2, 4]","[63, 21, 21, 28, 14, 21, 8]",0
10,T285,,,"[16.491930733890918, 16.849199663016005, 17.050298380221655, 17.07455890722823]",,,2015-09-28,3,,No surface found in dict,CML,,22,4,,,,,"[99.0, 99.0, 99.0]",1,,,Mr & Mrs Baffin Wong Yu Kwan,,,7,2015-09-28 08:05:00,,"[17.050298380221655, 17.07455890722823]",P-/H/B1,2,"[('20150906_10', None), ('20150614_695', None), ('20150516_620', None), ('20150527_648', None)]",,0,,,"[0, 0, 0, 0]",,1200,HURRICANE KID,,0,,"[16.491930733890918, 16.849199663016005, 17.050298380221655, 17.07455890722823]",,,FC,0,"[4, 3, 2, 1]","[84, 18, 11]",0
2,P062,,,"[16.871535309713185, 16.988229583788375, 17.02955844787739, 16.736401673640167, 16.752423118343906, 17.06900755913192, 17.040613462084636, 17.12817584927205, 16.654770402093742, 16.922859963333803, 16.759191369016445, 17.13796058269066, 16.581783726163685, 16.89189189189189, 16.985138004246284, 16.474464579901152, 17.052721330112263, 16.863406408094434, 16.73840267814443, 17.037848363149568, 17.177211565989122, 17.02748722938458, 17.167381974248926, 17.113519680547633, 16.552865714876887, 16.712426883132387, 16.81075888568684, 16.818500350385424]",,,2015-09-28,4,,No surface found in dict,PB,,15,28,,,,,"[2.7, 8.9, 2.1]",+1,,,Dr Simon S O Ip,,,6,2015-09-28 07:35:00,,"[16.871535309713185, 16.988229583788375, 17.02955844787739, 16.736401673640167, 16.752423118343906, 17.06900755913192, 16.654770402093742, 16.581783726163685, 16.73840267814443, 17.037848363149568, 17.02748722938458, 16.712426883132387, 16.81075888568684]",CP/XB,13,"[('20150419_546', None), ('20131221_260', None), ('20130407_510', None), ('20130317_462', None), ('20130212_384', None), ('20121128_198', None), ('20140409_539', None), ('20140628_744', None), ('20150531_657', None), ('20141228_266', None), ('20131001_54', None), ('20141005_62', None), ('20140111_321', None), ('20130505_583', None), ('20140510_615', None), ('20150125_340', None), ('20131027_118', None), ('20140608_686', None), ('20130127_346', None), ('20150221_405', None), ('20150509_600', None), ('20131204_215', None), ('20130908_8', None), ('20130101_283', None), ('20140504_594', None), ('20150913_23', None), ('20140917_14', None), ('20141115_160', None)]",,0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1400,GLACIER BLUE,,2,,"[16.871535309713185, 16.988229583788375, 17.02955844787739, 16.736401673640167, 16.752423118343906, 17.06900755913192, 17.040613462084636, 17.12817584927205, 16.654770402093742, 16.922859963333803, 16.759191369016445, 17.13796058269066, 16.581783726163685, 16.89189189189189, 17.052721330112263, 17.02748722938458, 17.167381974248926, 17.113519680547633, 16.552865714876887, 16.712426883132387, 16.81075888568684, 16.818500350385424]",,,GR,0,"[16, 12, 10, 23, 21, 6, 8, 4, 25, 14, 20, 3, 26, 15, 13, 28, 7, 17, 22, 9, 1, 11, 2, 5, 27, 24, 19, 18]","[105, 22, 20, 57, 27, 28, 43, 41, 18, 81, 20, 29, 6, 25, 88, 21, 17, 38, 26, 23, 126, 28, 21, 33, 16, 26, 34]",2
6,T293,,,,,,2015-09-28,3,,No surface found in dict,HCY,,,0,,,,,,2,,,Ho Sau Ki,,,7,2015-09-28 08:05:00,,,TT1,0,,,0,,,,,1200,LUCKY EVER,,0,,,,,SCS,0,,,0
8,P214,,,"[17.411491584445734, 17.497812773403325, 17.030939540164635, 17.561832284501683, 17.43425831759407, 16.83029453015428, 16.949152542372882, 16.997167138810198, 17.02127659574468, 16.975870013338184, 17.20676799541153, 16.809076901526826, 17.157563625965114, 16.880011253340836, 16.96592676374947, 16.98033111645677, 16.844469399213924, 17.072129748186086, 17.01258931609391]",,,2015-09-28,3,,No surface found in dict,WJH,,85,19,,,,,"[12.0, 15.0, 3.4]",+1,,,Christopher So Chi Hang & Eddie Ng Tao,,,7,2015-09-28 08:05:00,,"[17.411491584445734, 17.497812773403325, 17.030939540164635, 17.561832284501683, 17.43425831759407, 16.83029453015428, 16.949152542372882, 16.997167138810198, 17.02127659574468, 17.20676799541153, 16.809076901526826, 17.157563625965114, 16.880011253340836, 16.96592676374947, 16.98033111645677, 16.844469399213924, 17.072129748186086]",V,17,"[('20150325_492', None), ('20140202_364', None), ('20140615_704', None), ('20150705_757', None), ('20140316_473', None), ('20150207_378', None), ('20140525_649', None), ('20150422_558', None), ('20131229_276', None), ('20140406_530', None), ('20141203_209', None), ('20150621_716', None), ('20141012_80', None), ('20140914_4', None), ('20150114_312', None), ('20141112_151', None), ('20150107_295', None), ('20140706_764', None), ('20140223_420', None)]",,0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1200,HIT THE BID,,1,,"[17.411491584445734, 17.497812773403325, 17.030939540164635, 17.43425831759407]",,,MA,0,"[4, 2, 8, 1, 3, 18, 15, 11, 9, 13, 5, 19, 6, 16, 14, 12, 17, 7, 10]","[14, 60, 28, 46, 24, 7, 35, 21, 31, 28, 70, 21, 21, 49, 21, 21, 21, 35]",1
